"Id","IsDeleted","Name","CurrencyIsoCode","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","IsActive","IsArchived","Description","IsStandard"
"01s8a000000c1U4AAI","0","Standard Price Book","000","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","1","0","","1"
"01s8a0000038osQAAQ","0","MX-WNK-PB","MXN","2023-01-10 22:58:09","0058a00000LLRscAAH","2023-01-11 17:50:00","0058a00000LLRscAAH","2023-01-11 17:50:00","0","0","Winkel Corp Pricebook Mexico","0"
"01s8a0000038osVAAQ","0","CO-WNK-PB","MXN","2023-01-10 22:58:56","0058a00000LLRscAAH","2023-01-11 17:50:00","0058a00000LLRscAAH","2023-01-11 17:50:00","0","0","Winkel Corp Pricebook Colombia","0"
"01s8a0000038osWAAQ","0","EC-WNK-PB","MXN","2023-01-10 22:59:22","0058a00000LLRscAAH","2023-01-11 17:50:00","0058a00000LLRscAAH","2023-01-11 17:50:00","0","0","Winkel Corp Pricebook Ecuador","0"
"01s8a0000038osXAAQ","0","PE-MRK-PB","MXN","2023-01-10 23:02:01","0058a00000LLRscAAH","2023-01-11 17:50:00","0058a00000LLRscAAH","2023-01-11 17:50:00","0","0","Marketplace Pricebook Peru","0"
"01s8a0000038osYAAQ","0","CO-PRNR-PB","MXN","2023-01-10 23:06:31","0058a00000LLRscAAH","2023-01-10 23:06:31","0058a00000LLRscAAH","2023-01-10 23:06:31","1","0","Partner Pricebook Colombia","0"
"01s8a0000038osZAAQ","0","PE-PRNR-PB","MXN","2023-01-10 23:07:02","0058a00000LLRscAAH","2023-01-10 23:07:02","0058a00000LLRscAAH","2023-01-10 23:07:02","1","0","Partner Pricebook Peru","0"
"01s8a0000038osaAAA","0","PE-WNK-PB","MXN","2023-01-10 22:59:50","0058a00000LLRscAAH","2023-01-11 17:50:00","0058a00000LLRscAAH","2023-01-11 17:50:00","0","0","Winkel Corp Pricebook Peru","0"
"01s8a0000038osbAAA","0","EC-PRNR-PB","MXN","2023-01-10 23:06:50","0058a00000LLRscAAH","2023-01-10 23:06:50","0058a00000LLRscAAH","2023-01-10 23:06:50","1","0","Partner Pricebook Ecuador","0"
"01s8a0000038osfAAA","0","MX-MRK-PB","MXN","2023-01-10 23:00:31","0058a00000LLRscAAH","2023-01-11 17:50:00","0058a00000LLRscAAH","2023-01-11 17:50:00","0","0","Marketplace pricebook Mexico","0"
"01s8a0000038osgAAA","0","CO-MRK-PB","MXN","2023-01-10 23:00:59","0058a00000LLRscAAH","2023-01-11 17:50:00","0058a00000LLRscAAH","2023-01-11 17:50:00","0","0","Marketplace Pricebook Colombia","0"
"01s8a0000038oskAAA","0","EC-MRK-PB","MXN","2023-01-10 23:01:21","0058a00000LLRscAAH","2023-01-11 17:50:00","0058a00000LLRscAAH","2023-01-11 17:50:00","0","0","Marketplace Pricebook Ecuador","0"
"01s8a0000038oslAAA","0","MX-PGM-PB","MXN","2023-01-10 23:04:38","0058a00000LLRscAAH","2023-01-11 17:50:00","0058a00000LLRscAAH","2023-01-11 17:50:00","0","0","Programmatic Pricebook Mexico","0"
"01s8a0000038ospAAA","0","CO-PGM-PB","MXN","2023-01-10 23:04:58","0058a00000LLRscAAH","2023-01-11 17:50:00","0058a00000LLRscAAH","2023-01-11 17:50:00","0","0","Programmatic Pricebook Colombia","0"
"01s8a0000038osuAAA","0","EC-PGM-PB","MXN","2023-01-10 23:05:11","0058a00000LLRscAAH","2023-01-11 17:50:00","0058a00000LLRscAAH","2023-01-11 17:50:00","0","0","Programmatic Pricebook Ecuador","0"
"01s8a0000038osvAAA","0","PE-PGM-PB","MXN","2023-01-10 23:05:24","0058a00000LLRscAAH","2023-01-11 17:50:00","0058a00000LLRscAAH","2023-01-11 17:50:00","0","0","Programmatic Pricebook Peru","0"
"01s8a0000038oszAAA","0","MX-PRNR-PB","MXN","2023-01-10 23:06:19","0058a00000LLRscAAH","2023-01-10 23:06:19","0058a00000LLRscAAH","2023-01-10 23:06:19","1","0","Partner Pricebook Mexico","0"
"01s8a0000038oxGAAQ","0","STDR-MRK-PB","MXN","2023-01-11 17:46:38","0058a00000LLRscAAH","2023-01-11 17:46:38","0058a00000LLRscAAH","2023-01-11 17:46:38","1","0","Standard Pricebook for Marketplace","0"
"01s8a0000038oxHAAQ","0","STDR-WNK-PB","MXN","2023-01-11 17:47:14","0058a00000LLRscAAH","2023-01-11 17:47:14","0058a00000LLRscAAH","2023-01-11 17:47:14","1","0","Standard Winkel Corp Pricebook","0"
"01s8a0000038oxIAAQ","0","STDR-PGM-PB","MXN","2023-01-11 17:48:34","0058a00000LLRscAAH","2023-01-11 17:48:34","0058a00000LLRscAAH","2023-01-11 17:48:34","1","0","Standard Programmatic Pricebook","0"
