"Id","OwnerId","IsDeleted","Name","CurrencyIsoCode","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","PromptVersionId","UserId","TimesDisplayed","TimesActionTaken","TimesDismissed","LastDisplayDate","LastResult","LastResultDate","StepNumber","StepCount","SnoozeUntil","TimesSnoozed"
"0bu8a000001PN3GAAW","0058a00000LLRscAAH","0","PromptAction","MXN","2023-06-06 01:55:57","0058a00000LLRscAAH","2023-08-14 04:39:15","0058a00000LLRscAAH","2023-08-14 04:39:15","0bt8a000002mpFyAAI","0058a00000LLRscAAH","9","","2","2023-08-14 04:39:13","Dismiss","2023-08-14 04:39:15","1","2","",""
"0bu8a000001POQuAAO","0058a00000MNWuDAAX","0","PromptAction","MXN","2023-06-09 19:30:17","0058a00000MNWuDAAX","2023-06-09 19:30:28","0058a00000MNWuDAAX","2023-06-09 19:30:28","0bt8a000002mpFyAAI","0058a00000MNWuDAAX","1","","","2023-06-09 19:30:17","Finish","2023-06-09 19:30:28","2","2","",""
"0bu8a000001SzCaAAK","0058a00000LLRscAAH","0","PromptAction","MXN","2022-07-28 14:52:01","0058a00000LLRscAAH","2022-12-14 22:29:27","0058a00000LLRscAAH","2022-12-14 22:29:27","0bt8a0000006lnaAAA","0058a00000LLRscAAH","2","","2","2022-12-14 22:29:22","Dismiss","2022-12-14 22:29:27","","","",""
"0bu8a000001xetDAAQ","0058a00000LN8cxAAD","0","PromptAction","MXN","2022-12-01 06:12:59","0058a00000LN8cxAAD","2023-01-16 18:40:27","0058a00000LN8cxAAD","2023-01-16 18:40:27","0bt8a0000006lnaAAA","0058a00000LN8cxAAD","3","","2","2023-01-16 18:40:18","Dismiss","2023-01-16 18:40:27","","","",""
"0bu8a000001xf9GAAQ","0058a00000LN8cxAAD","0","PromptAction","USD","2022-12-06 15:12:00","0058a00000LN8cxAAD","2022-12-27 14:57:08","0058a00000LN8cxAAD","2022-12-27 14:57:08","0bt8a0000006lnSAAQ","0058a00000LN8cxAAD","3","","3","2022-12-27 14:57:03","Dismiss","2022-12-27 14:57:08","1","2","",""
"0bu8a000001xfgUAAQ","0058a00000LN8cxAAD","0","PromptAction","USD","2022-12-20 04:55:06","0058a00000LN8cxAAD","2022-12-20 04:55:09","0058a00000LN8cxAAD","2022-12-20 04:55:09","0bt8a000002z4LWAAY","0058a00000LN8cxAAD","1","","1","2022-12-20 04:55:06","Dismiss","2022-12-20 04:55:09","","","",""
"0bu8a000001xfiuAAA","0058a00000LLRscAAH","0","PromptAction","MXN","2022-12-20 23:02:22","0058a00000LLRscAAH","2023-01-23 20:09:29","0058a00000LLRscAAH","2023-01-23 20:09:29","0bt8a0000006lnSAAQ","0058a00000LLRscAAH","5","","3","2023-01-23 20:09:27","Dismiss","2023-01-23 20:09:29","1","2","",""
"0bu8a000001xfkHAAQ","0058a00000LLRscAAH","0","PromptAction","MXN","2022-12-21 14:05:41","0058a00000LLRscAAH","2023-01-25 01:00:04","0058a00000LLRscAAH","2023-01-25 01:00:04","0bt8a000002z4LWAAY","0058a00000LLRscAAH","3","","2","2023-01-25 01:00:01","Dismiss","2023-01-25 01:00:04","","","",""
"0bu8a000002Rt0HAAS","0058a00000LLRscAAH","0","PromptAction","MXN","2023-02-08 18:03:35","0058a00000LLRscAAH","2023-06-03 01:40:21","0058a00000LLRscAAH","2023-06-03 01:40:21","0bt8a000002fHzmAAE","0058a00000LLRscAAH","11","","2","2023-06-03 01:40:21","NoAction","2023-06-03 01:40:21","","","2023-05-25 19:53:38","1"
"0bu8a000002RtD6AAK","0058a00000MNWuDAAX","0","PromptAction","MXN","2023-02-11 17:07:23","0058a00000MNWuDAAX","2023-05-18 19:47:33","0058a00000MNWuDAAX","2023-05-18 19:47:33","0bt8a000002fHzmAAE","0058a00000MNWuDAAX","5","","2","2023-05-18 19:47:31","Dismiss","2023-05-18 19:47:33","","","",""
"0bu8a000002VFeBAAW","0058a00000MNWuDAAX","0","PromptAction","MXN","2023-01-16 21:53:56","0058a00000MNWuDAAX","2023-01-16 21:54:04","0058a00000MNWuDAAX","2023-01-16 21:54:04","0bt8a0000006lnaAAA","0058a00000MNWuDAAX","1","","1","2023-01-16 21:53:56","Dismiss","2023-01-16 21:54:04","","","",""
"0bu8a000002VFeQAAW","0058a00000MNWuDAAX","0","PromptAction","MXN","2023-01-17 02:07:17","0058a00000MNWuDAAX","2023-01-24 16:08:52","0058a00000MNWuDAAX","2023-01-24 16:08:52","0bt8a000002z4LWAAY","0058a00000MNWuDAAX","2","","1","2023-01-24 16:08:48","Dismiss","2023-01-24 16:08:52","","","",""
"0bu8a000002VFp4AAG","0058a00000MNWuDAAX","0","PromptAction","MXN","2023-01-20 17:55:49","0058a00000MNWuDAAX","2023-07-10 22:03:23","0058a00000MNWuDAAX","2023-07-10 22:03:23","0bt8a0000006lnSAAQ","0058a00000MNWuDAAX","3","","3","2023-07-10 22:03:20","Dismiss","2023-07-10 22:03:23","1","2","",""
