"Id","Name","ModuleNamespace","Description","BusinessProcessId","SobjectType","IsActive","CreatedById","CreatedDate","LastModifiedById","LastModifiedDate","SystemModstamp","IsDeleted"
"0128a000000NQFTAA4","Agency","","Agencias","","Account","1","0058a00000LN8cxAAD","2022-12-01 18:57:01","0058a00000LN8cxAAD","2022-12-01 22:14:00","2022-12-01 22:14:00","0"
"0128a000000NQFUAA4","Customer","","Clientes de winkel","","Account","1","0058a00000LN8cxAAD","2022-12-01 18:57:01","0058a00000LN8cxAAD","2022-12-20 16:07:38","2022-12-20 16:07:38","0"
"0128a000000NQFVAA4","Partner","","Socios de Winkel","","Account","1","0058a00000LN8cxAAD","2022-12-01 18:57:01","0058a00000LN8cxAAD","2022-12-01 22:14:00","2022-12-01 22:14:00","0"
"0128a000000NQFWAA4","Store","","Tiendas con pantalla disponible","","Account","1","0058a00000LN8cxAAD","2022-12-01 18:57:01","0058a00000LN8cxAAD","2022-12-01 22:14:00","2022-12-01 22:14:00","0"
"0128a000000NQFXAA4","Partner","","","","Contact","1","0058a00000LN8cxAAD","2022-12-01 18:57:01","0058a00000LN8cxAAD","2022-12-01 18:57:01","2022-12-01 18:57:01","0"
"0128a000000NQFYAA4","Winkel","","Base Lead Record Type for Winkel","0198a000000LqIVAA0","Lead","1","0058a00000LN8cxAAD","2022-12-01 18:57:01","0058a00000LN8cxAAD","2022-12-21 20:02:21","2022-12-21 20:02:21","0"
"0128a000000YezeAAC","Progreso","","Medir los logros basándose en hasta qué punto está acabado en comparación con un valor de destino. Ideal para el seguimiento de cifras y porcentajes concretos. Por ejemplo: Convertir 50 prospectos o alcanzar una satisfacción del cliente del 100%.","","Metric","1","0058a00000L2IR7AAN","2022-05-27 18:12:54","0058a00000L2IR7AAN","2022-05-27 18:12:54","2022-05-27 18:12:54","0"
"0128a000000YezfAAC","Finalización","","Medir los logros basándose en si la medición está acabada o no. Perfecto para el seguimiento de eventos clave o cuando no tiene mediciones basadas en números concretos. Por ejemplo: Obtener certificado de Salesforce.","","Metric","1","0058a00000L2IR7AAN","2022-05-27 18:12:54","0058a00000L2IR7AAN","2022-05-27 18:12:54","2022-05-27 18:12:54","0"
"0128a00000128yRAAQ","Internal Community: Question Record Type","","Record type used to associate Question with a specific community","","Question","1","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","2022-05-25 20:38:02","0"
"0128a00000128ySAAQ","Internal Community: Reply Record Type","","Record type used to associate Reply with a specific community","","Reply","1","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","2022-05-25 20:38:02","0"
"0128a00000128yTAAQ","Internal Ideas: Idea Record Type","","Record Type used to associate ideas with a specific community","","Idea","1","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","2022-05-25 20:38:02","0"
