"Id","OwnerId","IsDeleted","Name","CurrencyIsoCode","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ParentId","AccessType"
"0W58a000000YRYsCAO","0058a00000LLRscAAH","0","WA-00000001","000","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0W18a000000YTMNCA4","Give"
"0W58a000000YRYtCAO","0058a00000LLRscAAH","0","WA-00000002","000","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0W18a000000YTMOCA4","Give"
"0W58a000000YRYuCAO","0058a00000LLRscAAH","0","WA-00000003","000","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0W18a000000YTMPCA4","Give"
"0W58a000000YRYvCAO","0058a00000LLRscAAH","0","WA-00000004","000","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0W18a000000YTMQCA4","Give"
"0W58a000000YRYwCAO","0058a00000LLRscAAH","0","WA-00000005","000","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0W18a000000YTMRCA4","Give"
"0W58a000000YRYxCAO","0058a00000LLRscAAH","0","WA-00000006","000","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0W18a000000YTMSCA4","Give"
"0W58a000000YRYyCAO","0058a00000LLRscAAH","0","WA-00000007","000","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0W18a000000YTMTCA4","Give"
"0W58a000000YRYzCAO","0058a00000LLRscAAH","0","WA-00000008","000","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0W18a000000YTMUCA4","Give"
"0W58a000000YRZ0CAO","0058a00000LLRscAAH","0","WA-00000009","000","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0W18a000000YTMVCA4","Give"
"0W58a000000YRZ1CAO","0058a00000LLRscAAH","0","WA-00000010","000","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0W18a000000YTMWCA4","Give"
"0W58a000000YRZ2CAO","0058a00000LLRscAAH","0","WA-00000011","000","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0W18a000000YTMXCA4","Give"
"0W58a000000YRZ3CAO","0058a00000LLRscAAH","0","WA-00000012","000","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0W18a000000YTMYCA4","Give"
